name,url,country,lastrevid
Abdul Ghafor Zori,https://en.wikipedia.org/wiki/Abdul_Ghafor_Zori,Afghanistan,1136614520.0
Ali Pasha of Gusinje,https://en.wikipedia.org/wiki/Ali_Pasha_of_Gusinje,Albania,1244421894.0
Ylli Asllani,https://en.wikipedia.org/wiki/Ylli_Asllani,Albania,1221605713.0
Azis Tahir Ajdonati,https://en.wikipedia.org/wiki/Azis_Tahir_Ajdonati,Albania,1192928746.0
Bislim Bajgora,https://en.wikipedia.org/wiki/Bislim_Bajgora,Albania,1217284690.0
Kastriot Berissa,https://en.wikipedia.org/wiki/Kastriot_Berissa,Albania,1244463139.0
Bardhok Biba,https://en.wikipedia.org/wiki/Bardhok_Biba,Albania,1250227174.0
Kostandin Boshnjaku,https://en.wikipedia.org/wiki/Kostandin_Boshnjaku,Albania,1250227994.0
Spartak Braho,https://en.wikipedia.org/wiki/Spartak_Braho,Albania,1224650124.0
Safet Butka,https://en.wikipedia.org/wiki/Safet_Butka,Albania,1189442848.0
Uran Butka,https://en.wikipedia.org/wiki/Uran_Butka,Albania,1196422551.0
Refo Çapari,https://en.wikipedia.org/wiki/Refo_Çapari,Albania,1222381064.0
Neritan Ceka,https://en.wikipedia.org/wiki/Neritan_Ceka,Albania,1184807608.0
Hysni Curri,https://en.wikipedia.org/wiki/Hysni_Curri,Albania,1198914812.0
Ibrahim Dalliu,https://en.wikipedia.org/wiki/Ibrahim_Dalliu,Albania,1248264998.0
Niazi Demi,https://en.wikipedia.org/wiki/Niazi_Demi,Albania,1209346411.0
Abdurrahman Dibra,https://en.wikipedia.org/wiki/Abdurrahman_Dibra,Albania,1244008227.0
Bujar Dida,https://en.wikipedia.org/wiki/Bujar_Dida,Albania,1222151681.0
Ahmed Dino,https://en.wikipedia.org/wiki/Ahmed_Dino,Albania,1209165678.0
Rasih Dino,https://en.wikipedia.org/wiki/Rasih_Dino,Albania,1180949327.0
Ferhat Bey Draga,https://en.wikipedia.org/wiki/Ferhat_Bey_Draga,Albania,1236738861.0
Nexhip Draga,https://en.wikipedia.org/wiki/Nexhip_Draga,Albania,1236738502.0
Aqif Pasha Elbasani,https://en.wikipedia.org/wiki/Aqif_Pasha_Elbasani,Albania,1243882903.0
Abas Ermenji,https://en.wikipedia.org/wiki/Abas_Ermenji,Albania,1240801210.0
Qamil Musa Haxhi Feza,https://en.wikipedia.org/wiki/Qamil_Musa_Haxhi_Feza,Albania,1198224146.0
Themistokli Gërmenji,https://en.wikipedia.org/wiki/Themistokli_Gërmenji,Albania,1241037317.0
Sabri Godo,https://en.wikipedia.org/wiki/Sabri_Godo,Albania,1230739582.0
Mihal Grameno,https://en.wikipedia.org/wiki/Mihal_Grameno,Albania,1226635783.0
Aćif Hadžiahmetović,https://en.wikipedia.org/wiki/Aćif_Hadžiahmetović,Albania,1229938943.0
High Council of Regency,https://en.wikipedia.org/wiki/High_Council_of_Regency,Albania,1245450388.0
Kurt Agë Kadiu,https://en.wikipedia.org/wiki/Kurt_Agë_Kadiu,Albania,1244486529.0
Mehmed Kalakula,https://en.wikipedia.org/wiki/Mehmed_Kalakula,Albania,1145510350.0
Alfred Karamuço,https://en.wikipedia.org/wiki/Alfred_Karamuço,Albania,1098236555.0
Ibrahim Karbunara,https://en.wikipedia.org/wiki/Ibrahim_Karbunara,Albania,1235824719.0
Ali Këlcyra,https://en.wikipedia.org/wiki/Ali_Këlcyra,Albania,1227369252.0
Bajram Kelmendi,https://en.wikipedia.org/wiki/Bajram_Kelmendi,Albania,1237006808.0
Kristo Kirka,https://en.wikipedia.org/wiki/Kristo_Kirka,Albania,1237950375.0
Elez Koçi,https://en.wikipedia.org/wiki/Elez_Koçi,Albania,1174010569.0
Xhelal Koprëncka,https://en.wikipedia.org/wiki/Xhelal_Koprëncka,Albania,1209148780.0
Kryeziu family,https://en.wikipedia.org/wiki/Kryeziu_family,Albania,1236739222.0
Artur Kuko,https://en.wikipedia.org/wiki/Artur_Kuko,Albania,1112281132.0
Xhavid Leskoviku,https://en.wikipedia.org/wiki/Xhavid_Leskoviku,Albania,1180950536.0
Sabit Lulo,https://en.wikipedia.org/wiki/Sabit_Lulo,Albania,1180950488.0
Gjon Markagjoni,https://en.wikipedia.org/wiki/Gjon_Markagjoni,Albania,1227760361.0
Tefik Mborja,https://en.wikipedia.org/wiki/Tefik_Mborja,Albania,1234673487.0
Hysni Milloshi,https://en.wikipedia.org/wiki/Hysni_Milloshi,Albania,1218412314.0
Musa Qazimi,https://en.wikipedia.org/wiki/Musa_Qazimi,Albania,1235824584.0
Mustafa Ndroqi,https://en.wikipedia.org/wiki/Mustafa_Ndroqi,Albania,1198219291.0
Behxhet Nepravishta,https://en.wikipedia.org/wiki/Behxhet_Nepravishta,Albania,1180949734.0
Adrian Neritani,https://en.wikipedia.org/wiki/Adrian_Neritani,Albania,1196135017.0
Sali Nivica,https://en.wikipedia.org/wiki/Sali_Nivica,Albania,1240539074.0
Thoma Orologa,https://en.wikipedia.org/wiki/Thoma_Orologa,Albania,1180949774.0
Bedri Pejani,https://en.wikipedia.org/wiki/Bedri_Pejani,Albania,1220757655.0
Kadri Prishtina,https://en.wikipedia.org/wiki/Kadri_Prishtina,Albania,1198167947.0
Ymer Prizreni,https://en.wikipedia.org/wiki/Ymer_Prizreni,Albania,1215667416.0
Avni Rustemi,https://en.wikipedia.org/wiki/Avni_Rustemi,Albania,1229276965.0
Chatin Sarachi,https://en.wikipedia.org/wiki/Chatin_Sarachi,Albania,1141930406.0
Nebi Sefa,https://en.wikipedia.org/wiki/Nebi_Sefa,Albania,1244486537.0
Eduard Shalsi,https://en.wikipedia.org/wiki/Eduard_Shalsi,Albania,1173107489.0
Ylli Vesel Shehu,https://en.wikipedia.org/wiki/Ylli_Vesel_Shehu,Albania,1250811470.0
Athanas Shundi,https://en.wikipedia.org/wiki/Athanas_Shundi,Albania,1220369492.0
Xhelal Sveçla,https://en.wikipedia.org/wiki/Xhelal_Sveçla,Albania,1217259369.0
Mehmet Tahsini,https://en.wikipedia.org/wiki/Mehmet_Tahsini,Albania,1239924043.0
Ibrahim Temo,https://en.wikipedia.org/wiki/Ibrahim_Temo,Albania,1228151428.0
Afrim Tole,https://en.wikipedia.org/wiki/Afrim_Tole,Albania,1241836925.0
Syreja Vlora,https://en.wikipedia.org/wiki/Syreja_Vlora,Albania,1186986269.0
Visarion Xhuvani,https://en.wikipedia.org/wiki/Visarion_Xhuvani,Albania,1135323365.0
Visar Ymeri,https://en.wikipedia.org/wiki/Visar_Ymeri,Albania,1248230838.0
Abdyl Ypi,https://en.wikipedia.org/wiki/Abdyl_Ypi,Albania,1220281072.0
Xhezair Zaganjori,https://en.wikipedia.org/wiki/Xhezair_Zaganjori,Albania,1143896123.0
Menduh Zavalani,https://en.wikipedia.org/wiki/Menduh_Zavalani,Albania,1235824554.0
Abdelkader Zoukh,https://en.wikipedia.org/wiki/Abdelkader_Zoukh,Algeria,1250270534.0
Chaâbane Aït Abderrahim,https://en.wikipedia.org/wiki/Chaâbane_Aït_Abderrahim,Algeria,1234096174.0
Ali Aoun,https://en.wikipedia.org/wiki/Ali_Aoun,Algeria,1214835889.0
Basma Azouar,https://en.wikipedia.org/wiki/Basma_Azouar,Algeria,1192088820.0
Mohamed Seghir Babes,https://en.wikipedia.org/wiki/Mohamed_Seghir_Babes,Algeria,1226280389.0
Noureddine Bahbouh,https://en.wikipedia.org/wiki/Noureddine_Bahbouh,Algeria,1099284595.0
Lamine Bechichi,https://en.wikipedia.org/wiki/Lamine_Bechichi,Algeria,1111537825.0
Aïssa Bekkai,https://en.wikipedia.org/wiki/Aïssa_Bekkai,Algeria,1219685755.0
Abdelhakim Belabed,https://en.wikipedia.org/wiki/Abdelhakim_Belabed,Algeria,1218173615.0
Mohamed Tarek Belaribi,https://en.wikipedia.org/wiki/Mohamed_Tarek_Belaribi,Algeria,1241671793.0
Kamel Beldjoud,https://en.wikipedia.org/wiki/Kamel_Beldjoud,Algeria,1214832676.0
Aboubakr Belkaid,https://en.wikipedia.org/wiki/Aboubakr_Belkaid,Algeria,1176411375.0
Youcef Belmehdi,https://en.wikipedia.org/wiki/Youcef_Belmehdi,Algeria,1239235131.0
Mohamed Cherif Belmihoub,https://en.wikipedia.org/wiki/Mohamed_Cherif_Belmihoub,Algeria,1226553342.0
Mohamed Belouizdad,https://en.wikipedia.org/wiki/Mohamed_Belouizdad,Algeria,1169278443.0
Benaouda Hadj Hacène Bachterzi,https://en.wikipedia.org/wiki/Benaouda_Hadj_Hacène_Bachterzi,Algeria,1237478919.0
Souad Bendjaballah,https://en.wikipedia.org/wiki/Souad_Bendjaballah,Algeria,1134649751.0
Abdelkrim Benmbarek,https://en.wikipedia.org/wiki/Abdelkrim_Benmbarek,Algeria,1245801726.0
Mohamed Bensalam,https://en.wikipedia.org/wiki/Mohamed_Bensalam,Algeria,1235672021.0
Fayçal Bentaleb,https://en.wikipedia.org/wiki/Fayçal_Bentaleb,Algeria,1217131488.0
Ahmed Bidani,https://en.wikipedia.org/wiki/Ahmed_Bidani,Algeria,1212186965.0
Kamel Bidari,https://en.wikipedia.org/wiki/Kamel_Bidari,Algeria,1249963763.0
Rachid Bladehane,https://en.wikipedia.org/wiki/Rachid_Bladehane,Algeria,1186319378.0
Saïd Boualam,https://en.wikipedia.org/wiki/Saïd_Boualam,Algeria,1240883461.0
Rabah Bouaziz,https://en.wikipedia.org/wiki/Rabah_Bouaziz,Algeria,1232492563.0
Abdeslam Bouchouareb,https://en.wikipedia.org/wiki/Abdeslam_Bouchouareb,Algeria,1203569345.0
Ibrahim Boughali,https://en.wikipedia.org/wiki/Ibrahim_Boughali,Algeria,1230623499.0
Yahia Boukhari,https://en.wikipedia.org/wiki/Yahia_Boukhari,Algeria,1186319308.0
Mohamed Bouslimani,https://en.wikipedia.org/wiki/Mohamed_Bouslimani,Algeria,1224118485.0
Foued Chehat,https://en.wikipedia.org/wiki/Foued_Chehat,Algeria,1242037866.0
Hamza Al Sid Cheikh,https://en.wikipedia.org/wiki/Hamza_Al_Sid_Cheikh,Algeria,1248318178.0
Hocine Cherhabil,https://en.wikipedia.org/wiki/Hocine_Cherhabil,Algeria,1242619010.0
Abderrahmane Meziane Chérif,https://en.wikipedia.org/wiki/Abderrahmane_Meziane_Chérif,Algeria,1220757834.0
Saïd Chibane,https://en.wikipedia.org/wiki/Saïd_Chibane,Algeria,1230435685.0
Brahim Chibout,https://en.wikipedia.org/wiki/Brahim_Chibout,Algeria,1053460621.0
Youcef Chorfa,https://en.wikipedia.org/wiki/Youcef_Chorfa,Algeria,1214834266.0
Fazia Dahleb,https://en.wikipedia.org/wiki/Fazia_Dahleb,Algeria,1244337610.0
Taha Derbal,https://en.wikipedia.org/wiki/Taha_Derbal,Algeria,1213344636.0
Nassim Diafat,https://en.wikipedia.org/wiki/Nassim_Diafat,Algeria,1213342432.0
Mokhtar Didouche,https://en.wikipedia.org/wiki/Mokhtar_Didouche,Algeria,1227200392.0
Bouras Djamel,https://en.wikipedia.org/wiki/Bouras_Djamel,Algeria,1226437538.0
Fatiha Serour,https://en.wikipedia.org/wiki/Fatiha_Serour,Algeria,1218302579.0
Ahmed Hamiani,https://en.wikipedia.org/wiki/Ahmed_Hamiani,Algeria,1226452639.0
Nadir Kassab,https://en.wikipedia.org/wiki/Nadir_Kassab,Algeria,1226271746.0
Brahim Djamel Kassali,https://en.wikipedia.org/wiki/Brahim_Djamel_Kassali,Algeria,1172500304.0
Kaoutar Krikou,https://en.wikipedia.org/wiki/Kaoutar_Krikou,Algeria,1213795388.0
Sassi Lamouri,https://en.wikipedia.org/wiki/Sassi_Lamouri,Algeria,1181986973.0
Mohamed Maghlaoui,https://en.wikipedia.org/wiki/Mohamed_Maghlaoui,Algeria,1053469610.0
Amar Makhloufi,https://en.wikipedia.org/wiki/Amar_Makhloufi,Algeria,1235394946.0
Yassine Merabi,https://en.wikipedia.org/wiki/Yassine_Merabi,Algeria,1214841607.0
Brahim Merad,https://en.wikipedia.org/wiki/Brahim_Merad,Algeria,1244511083.0
Bachir Messaitfa,https://en.wikipedia.org/wiki/Bachir_Messaitfa,Algeria,1186318318.0
Azzedine Mihoubi,https://en.wikipedia.org/wiki/Azzedine_Mihoubi,Algeria,1233387309.0
Mohamed Ali Boughazi,https://en.wikipedia.org/wiki/Mohamed_Ali_Boughazi,Algeria,1213870570.0
Amar Mohammedi,https://en.wikipedia.org/wiki/Amar_Mohammedi,Algeria,1226279231.0
Samia Moualfi,https://en.wikipedia.org/wiki/Samia_Moualfi,Algeria,1212181372.0
Soraya Mouloudji,https://en.wikipedia.org/wiki/Soraya_Mouloudji,Algeria,1226335614.0
Yacine Oualid,https://en.wikipedia.org/wiki/Yacine_Oualid,Algeria,1214837789.0
Cherif Rahmani,https://en.wikipedia.org/wiki/Cherif_Rahmani,Algeria,1053461144.0
Lakhdar Rakhroukh,https://en.wikipedia.org/wiki/Lakhdar_Rakhroukh,Algeria,1186317568.0
Laid Rebiga,https://en.wikipedia.org/wiki/Laid_Rebiga,Algeria,1248662394.0
Kamel Rezig,https://en.wikipedia.org/wiki/Kamel_Rezig,Algeria,1215901775.0
Salim Saadi,https://en.wikipedia.org/wiki/Salim_Saadi,Algeria,1229426851.0
Abdelhak Saihi,https://en.wikipedia.org/wiki/Abdelhak_Saihi,Algeria,1218004839.0
Hichem Sofiane Salaouatchi,https://en.wikipedia.org/wiki/Hichem_Sofiane_Salaouatchi,Algeria,1212186286.0
Naima Salhi,https://en.wikipedia.org/wiki/Naima_Salhi,Algeria,1213404244.0
Abderezak Sebgag,https://en.wikipedia.org/wiki/Abderezak_Sebgag,Algeria,1212579707.0
Abderrachid Tabbi,https://en.wikipedia.org/wiki/Abderrachid_Tabbi,Algeria,1218530483.0
Karim Bibi Triki,https://en.wikipedia.org/wiki/Karim_Bibi_Triki,Algeria,1213794210.0
Layachi Yaker,https://en.wikipedia.org/wiki/Layachi_Yaker,Algeria,1226060720.0
Ahmed Zeghdar,https://en.wikipedia.org/wiki/Ahmed_Zeghdar,Algeria,1213778323.0
Adão Francisco Correia de Almeida,https://en.wikipedia.org/wiki/Adão_Francisco_Correia_de_Almeida,Angola,1209524394.0
Ana Paula Chantre Luna de Carvalho,https://en.wikipedia.org/wiki/Ana_Paula_Chantre_Luna_de_Carvalho,Angola,1209514022.0
Alexandre Sebastião André,https://en.wikipedia.org/wiki/Alexandre_Sebastião_André,Angola,1172178750.0
Paulino Baptista,https://en.wikipedia.org/wiki/Paulino_Baptista,Angola,1242307496.0
Bernarda Gonçalves Martins,https://en.wikipedia.org/wiki/Bernarda_Gonçalves_Martins,Angola,1210193481.0
João Baptista Borges,https://en.wikipedia.org/wiki/João_Baptista_Borges,Angola,1227794006.0
Carolina Cerqueira,https://en.wikipedia.org/wiki/Carolina_Cerqueira,Angola,1241977204.0
Arlete Chimbinda,https://en.wikipedia.org/wiki/Arlete_Chimbinda,Angola,1177486404.0
Kafundanga Chingunji,https://en.wikipedia.org/wiki/Kafundanga_Chingunji,Angola,1191431794.0
Jeremias Chitunda,https://en.wikipedia.org/wiki/Jeremias_Chitunda,Angola,1220287872.0
Abel Chivukuvuku,https://en.wikipedia.org/wiki/Abel_Chivukuvuku,Angola,1165626565.0
Fiel Domingos Constantino,https://en.wikipedia.org/wiki/Fiel_Domingos_Constantino,Angola,1217387083.0
Adalberto Costa Júnior,https://en.wikipedia.org/wiki/Adalberto_Costa_Júnior,Angola,1244123151.0
Adjany Costa,https://en.wikipedia.org/wiki/Adjany_Costa,Angola,1242000475.0
Álvaro Arnaldo Craveiro,https://en.wikipedia.org/wiki/Álvaro_Arnaldo_Craveiro,Angola,1194150567.0
Raul Danda,https://en.wikipedia.org/wiki/Raul_Danda,Angola,1158035855.0
Diamantino Pedro Azevedo,https://en.wikipedia.org/wiki/Diamantino_Pedro_Azevedo,Angola,1209522689.0
Faustina Fernandes Inglês de Almeida Alves,https://en.wikipedia.org/wiki/Faustina_Fernandes_Inglês_de_Almeida_Alves,Angola,1251032908.0
Abraão Gourgel,https://en.wikipedia.org/wiki/Abraão_Gourgel,Angola,1124441544.0
Jofre Van-Dúnem Júnior,https://en.wikipedia.org/wiki/Jofre_Van-Dúnem_Júnior,Angola,1242307432.0
José Carvalho da Rocha,https://en.wikipedia.org/wiki/José_Carvalho_da_Rocha,Angola,1242307441.0
José Luis de Matos,https://en.wikipedia.org/wiki/José_Luis_de_Matos,Angola,1242307337.0
Kambamba Kulaxingo,https://en.wikipedia.org/wiki/Kambamba_Kulaxingo,Angola,1093124425.0
Jesus Faria Maiato,https://en.wikipedia.org/wiki/Jesus_Faria_Maiato,Angola,1209631313.0
Manuel Neto da Costa,https://en.wikipedia.org/wiki/Manuel_Neto_da_Costa,Angola,1209411144.0
Manuel Tavares de Almeida,https://en.wikipedia.org/wiki/Manuel_Tavares_de_Almeida,Angola,1209411217.0
Marcos Alexandre Nhunga,https://en.wikipedia.org/wiki/Marcos_Alexandre_Nhunga,Angola,1209413818.0
Maria Cândida Pereira Teixeira,https://en.wikipedia.org/wiki/Maria_Cândida_Pereira_Teixeira,Angola,1218506469.0
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,https://en.wikipedia.org/wiki/Maria_do_Rosário_Teixeira_de_Alva_Sequeira_Bragança_Sambo,Angola,1209513699.0
David Mendes,https://en.wikipedia.org/wiki/David_Mendes,Angola,1024544204.0
Saíde Mingas,https://en.wikipedia.org/wiki/Saíde_Mingas,Angola,1251004422.0
Fernando Faustino Muteka,https://en.wikipedia.org/wiki/Fernando_Faustino_Muteka,Angola,1241977176.0
Pedro Mutinde,https://en.wikipedia.org/wiki/Pedro_Mutinde,Angola,1209539718.0
José Ndele,https://en.wikipedia.org/wiki/José_Ndele,Angola,1154991360.0
Ana Paula Sacramento Neto,https://en.wikipedia.org/wiki/Ana_Paula_Sacramento_Neto,Angola,1227909121.0
Daniel Ntongi-Nzinga,https://en.wikipedia.org/wiki/Daniel_Ntongi-Nzinga,Angola,1187961349.0
Paula Cristina Francisco Coelho,https://en.wikipedia.org/wiki/Paula_Cristina_Francisco_Coelho,Angola,1209410923.0
